name_of_drug,use_case_for_drug,effectiveness_rating,number_of_times_prescribed,positive,negative,neutral,compound,base_score
Risperidone,Bipolar Disorde,1,7,0.081,0.142,0.777,-0.6876,3.7845039965740233
Zoloft,Depression,6,34,0.054,0.233,0.712,-0.9731,6.157501692620144
Actifed,Cold Symptoms,8,7,0.08,0.0,0.92,0.5326,5.305232108701494
Nexplanon,Birth Control,1,5,0.095,0.05,0.856,0.5711,4.884977122534999
Diclofenac,Osteoarthritis,1,1,0.0,0.0,1.0,0.0,4.319273404069607
Acetaminophen / hydrocodone,Back Pain,1,8,0.013,0.044,0.943,-0.4398,5.707023638890452
Paxil,Panic Disorde,5,16,0.101,0.167,0.733,-0.7579,7.346189385571479
Amitriptyline,Migraine Prevention,9,49,0.187,0.087,0.726,0.9345,7.254862780164628
Silver sulfadiazine,"Burns, External",10,6,0.055,0.065,0.88,0.1027,6.1731344641759245
Liletta,Birth Control,1,2,0.085,0.09,0.825,-0.144,6.1693738810759235
Accutane,Acne,5,10,0.061,0.034,0.905,0.197,7.181786620054445
Chantix,Smoking Cessation,10,19,0.219,0.0,0.781,0.9699,6.127475169414972
Pristiq,Depression,10,31,0.13,0.126,0.745,-0.1045,6.245137350785216
Ethinyl estradiol / levonorgestrel,Birth Control,10,4,0.067,0.065,0.868,0.0772,8.358950719271757
Junel Fe 1 / 20,Birth Control,3,32,0.0,0.248,0.752,-0.953,6.61375327399607
Ethinyl estradiol / etonogestrel,Birth Control,5,2,0.117,0.137,0.746,-0.4071,6.562017771753732
Medroxyprogesterone,Endometriosis,1,23,0.0,0.044,0.956,-0.4215,6.358347107570019
Xeljanz,Rheumatoid Arthritis,1,22,0.056,0.094,0.85,-0.5267,7.064415428840003
Plan B One-Step,Emergency Contraception,10,14,0.208,0.232,0.56,-0.1513,7.369878171891573
Lysteda,Menorrhagia,10,85,0.098,0.093,0.809,0.0667,8.739669778816722
Ethinyl estradiol / etonogestrel,Birth Control,10,5,0.207,0.046,0.747,0.8313,7.170997223562014
Seroquel,Schizophrenia,1,8,0.049,0.14,0.811,-0.6597,5.707023638890452
Polyethylene glycol 3350,Constipation,3,17,0.049,0.094,0.856,-0.7533,8.136022803300202
Lifitegrast,Dry Eye Disease,10,10,0.046,0.116,0.839,-0.7404,8.574485878929147
Bupropion,Smoking Cessation,10,75,0.13,0.012,0.859,0.8754,6.234082540410353
Multivitamin with iron,Vitamin/Mineral Supplementation and Deficiency,1,3,0.155,0.08,0.765,0.6669,7.0500866311617765
Effexor,Major Depressive Disorde,5,13,0.098,0.09,0.812,0.5181,4.049941991524834
Trazodone,Depression,7,97,0.0,0.0,1.0,0.0,6.594296967809857
Maxaron Forte,Anemia,8,5,0.188,0.0,0.812,0.6514,6.124057251494149
Arimidex,Breast Cance,6,65,0.073,0.125,0.802,-0.6425,5.6720005815813135
Sprintec,Birth Control,6,2,0.151,0.089,0.76,0.8092,5.406917687876335
Seasonique,Polycystic Ovary Syndrome,10,17,0.235,0.04,0.725,0.9701,7.900790082378434
Escitalopram,Generalized Anxiety Disorde,10,51,0.141,0.084,0.774,0.8317,6.5114336812428935
Sumatriptan,Migraine,2,22,0.1,0.147,0.753,-0.7895,8.323452146415569
Vimpat,Seizures,10,3,0.15,0.0,0.85,0.8217,8.745991303284766
Ciprofloxacin,Bladder Infection,6,19,0.08,0.133,0.787,-0.6597,1.0173838665898889
Cetirizine,Urticaria,6,43,0.063,0.14,0.798,-0.8747,3.1206699688873054
Desvenlafaxine,Bipolar Disorde,10,36,0.184,0.03,0.786,0.9573,7.715255946986692
Phentermine,Weight Loss,10,25,0.038,0.047,0.914,-0.126,6.1234614690910565
Etonogestrel,Birth Control,10,10,0.048,0.098,0.855,-0.7423,8.574485878929147
Seasonique,Birth Control,2,4,0.088,0.171,0.741,-0.836,7.890498753651644
Methotrexate,Psoriasis,10,42,0.11,0.099,0.792,0.1813,8.05477107192397
Xanax,Anxiety,9,2,0.0,0.0,1.0,0.0,8.174543577159849
Xolair,Urticaria,10,28,0.487,0.0,0.513,0.5859,8.7151200080925
Mirena,Birth Control,10,26,0.169,0.105,0.725,0.6647,6.653815670753763
Klor-Con,Hypokalemia,9,49,0.035,0.054,0.911,-0.3363,7.254862780164628
Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,10,9,0.367,0.0,0.633,0.9239,8.656796740464273
Amoxicillin / clavulanate,Bacterial Infection,1,26,0.0,0.178,0.822,-0.3818,4.061158527302301
Solifenacin,Overactive Bladde,2,63,0.063,0.141,0.795,-0.8793,5.387608335624447
Mometasone,Psoriasis,10,35,0.127,0.047,0.826,0.8315,8.648336695522234
Dexmethylphenidate,ADHD,8,2,0.032,0.028,0.94,0.0735,7.171574816814388
Olanzapine,Bipolar Disorde,5,8,0.177,0.056,0.768,0.631,6.132623614626235
Apremilast,Plaque Psoriasis,5,74,0.045,0.229,0.726,-0.9778,5.5874954634302005
Alli,Obesity,2,40,0.028,0.155,0.817,-0.935,7.907556528480552
Rizatriptan,Migraine,10,20,0.145,0.094,0.762,0.4986,6.998161370910088
Ethinyl estradiol / norethindrone,Menstrual Disorders,7,7,0.127,0.306,0.566,-0.9022,3.14878389340544
Mono-Linyah,Birth Control,2,0,0.183,0.093,0.724,0.8785,5.361011644211109
Generess Fe,Birth Control,6,6,0.153,0.111,0.736,0.8463,1.268006985722132
Estarylla,Acne,1,3,0.0,0.272,0.728,-0.9153,7.0500866311617765
Risperdal,Schizophrenia,5,14,0.028,0.105,0.867,-0.567,5.650188340164572
Imitrex,Migraine,8,9,0.067,0.026,0.907,0.6419,7.828314657173991
Spironolactone,Alopecia,6,43,0.095,0.072,0.832,0.2692,3.1206699688873054
Paroxetine,Anxiety,6,61,0.153,0.228,0.619,-0.9287,5.1051254323840745
Metronidazole,Bacterial Vaginitis,4,5,0.066,0.214,0.719,-0.9378,6.930195283510674
Adalimumab,Ankylosing Spondylitis,9,40,0.158,0.215,0.627,-0.2331,8.472801793248562
Macrobid,Bladder Infection,1,77,0.091,0.327,0.582,-0.7579,5.4996874815261805
Metformin,"Diabetes, Type 2",3,68,0.238,0.181,0.581,0.2244,7.191496070174434
Lo Loestrin Fe,Birth Control,2,30,0.188,0.058,0.754,0.8885,6.773762260198254
Meloxicam,ibromyalgia,2,72,0.057,0.158,0.785,-0.9494,8.283526771440979
Rexulti,Major Depressive Disorde,10,59,0.191,0.169,0.64,0.7167,8.496089979958727
Chlordiazepoxide / clidinium,Irritable Bowel Syndrome,10,26,0.0,0.0,1.0,0.0,6.653815670753763
Adipex-P,Weight Loss,9,17,0.0,0.198,0.802,-0.7976,8.001996457056773
Tramadol,Back Pain,8,25,0.112,0.138,0.75,-0.308,4.839710405165771
Cyproheptadine,ailure to Thrive,10,7,0.025,0.145,0.831,-0.9612,6.493653305451713
Hydroxyzine,Anxiety,9,180,0.086,0.067,0.847,0.4194,8.39241510102818
Zolpidem,Insomnia,10,6,0.348,0.0,0.652,0.654,6.1731344641759245
Zymar,Conjunctivitis,10,2,0.0,0.0,1.0,0.0,8.074493292790843
Gabapentin,Restless Legs Syndrome,10,81,0.084,0.042,0.874,0.3291,6.459031227866224
Tizanidine,Muscle Spasm,6,26,0.052,0.0,0.948,0.1406,2.8099380583170217
Etonogestrel,Birth Control,10,1,0.064,0.071,0.865,-0.1027,6.80968357898411
Clonazepam,Insomnia,10,54,0.0,0.0,1.0,0.0,8.563274491655593
Ethinyl estradiol / norgestimate,Birth Control,10,23,0.097,0.067,0.836,0.2259,8.215482906027418
Levonorgestrel,Birth Control,3,1,0.0,0.282,0.718,-0.9928,7.049146669046808
Nexplanon,Birth Control,2,3,0.067,0.18,0.753,-0.9455,8.311305347103012
Ethinyl estradiol / norethindrone,Birth Control,4,9,0.0,0.429,0.571,-0.9455,8.494569707089273
Ultram ER,Chronic Pain,8,30,0.257,0.0,0.743,0.9254,6.330843099822558
Acetaminophen / oxycodone,Chronic Pain,9,11,0.143,0.143,0.714,0.0,7.648306726574672
Levaquin,Sinusitis,10,47,0.136,0.023,0.841,0.8907,8.748627336347578
Nutropin,18</span> users found this comment helpful.,10,18,0.122,0.036,0.842,0.904,6.633970466631683
Polyethylene glycol 3350,Bowel Preparation,5,10,0.243,0.072,0.685,0.7906,7.181786620054445
Sertraline,Anxiety and Stress,6,16,0.056,0.236,0.708,-0.985,6.3328179292664695
Amlodipine,Migraine Prevention,1,10,0.061,0.132,0.806,-0.296,6.8294758571584
Amitriptyline,Pain,10,100,0.123,0.168,0.709,-0.6212,6.327209850132568
Adalimumab,Psoriasis,5,8,0.05,0.0,0.95,0.1065,6.132623614626235
Temazepam,Insomnia,6,54,0.0,0.0,1.0,0.0,6.126027325663892
Copper,Birth Control,9,4,0.064,0.161,0.775,-0.9544,8.457255146738312
Lorcaserin,Weight Loss,10,15,0.173,0.14,0.687,0.5859,8.482883456649951
Estradiol,Atrophic Vaginitis,1,13,0.066,0.134,0.801,-0.6705,3.3477247532480425
Vortioxetine,Major Depressive Disorde,10,37,0.093,0.09,0.817,0.0941,6.476183149656864
Etonogestrel,Birth Control,7,5,0.078,0.0,0.922,0.8176,4.395058287782974
Pregabalin,Diabetic Peripheral Neuropathy,1,82,0.044,0.187,0.769,-0.802,3.21721202387462
Savella,ibromyalgia,10,64,0.087,0.061,0.852,0.8248,7.020941076931112
Suboxone,Opiate Dependence,2,42,0.045,0.322,0.633,-0.9952,7.557664379209862
Phentermine / topiramate,Obesity,10,28,0.253,0.0,0.747,0.6588,8.7151200080925
Mobic,Inflammatory Conditions,8,66,0.11,0.037,0.853,0.6222,7.9400349751344015
Plan B One-Step,Emergency Contraception,2,7,0.0,0.079,0.921,-0.5423,5.8076563462187885
Pristiq,Depression,9,15,0.134,0.122,0.745,0.7,8.580480617777244
Etonogestrel,Birth Control,5,0,0.145,0.068,0.786,0.7348,3.8128660300863055
Librium,Anxiety,9,19,0.12,0.122,0.758,0.4143,6.245772451546388
Effexor XR,Depression,1,2,0.033,0.157,0.81,-0.9492,6.1693738810759235
Etonogestrel,Birth Control,10,15,0.166,0.106,0.728,0.877,8.482883456649951
Ethinyl estradiol / norethindrone,Birth Control,9,32,0.092,0.088,0.82,0.0682,6.485994130094867
Phentermine,Weight Loss,9,14,0.185,0.063,0.753,0.9627,7.475096634526175
Varenicline,Smoking Cessation,10,11,0.096,0.058,0.846,0.5093,7.544492890288928
Soma,Muscle Spasm,10,120,0.123,0.168,0.709,-0.5068,6.401646344009122
Contrave,Weight Loss,10,23,0.104,0.055,0.841,0.7352,8.215482906027418
Medroxyprogesterone,Abnormal Uterine Bleeding,1,17,0.046,0.168,0.786,-0.915,5.933027117967472
Copper,Birth Control,9,11,0.095,0.192,0.713,-0.9469,7.648306726574672
Levonorgestrel,Emergency Contraception,10,7,0.067,0.121,0.812,-0.6145,6.493653305451713
Eszopiclone,Insomnia,8,22,0.185,0.084,0.731,0.9142,7.94042769749102
Sulfacetamide sodium / sulfur,Seborrheic Dermatitis,10,22,0.036,0.088,0.876,-0.3818,8.757200984608478
Fluphenazine,Psychosis,1,0,0.0,0.245,0.755,-0.6361,3.054420106447377
St. john's wort,Depression,7,91,0.16,0.118,0.722,0.6128,6.69840981643613
Adapalene / benzoyl peroxide,Acne,9,4,0.117,0.087,0.796,0.4614,8.457255146738312
Pemoline,ADHD,8,11,0.087,0.121,0.792,-0.4926,6.562115937095545
Myrbetriq,Overactive Bladde,9,9,0.162,0.031,0.806,0.8248,8.753452412523746
NP Thyroid,19</span> users found this comment helpful.,9,19,0.164,0.211,0.625,-0.1531,6.245772451546388
Citalopram,Depression,10,15,0.181,0.079,0.74,0.9387,8.482883456649951
Vilazodone,Depression,6,9,0.178,0.139,0.683,0.7051,6.258641899220174
Gianvi,Birth Control,6,6,0.138,0.05,0.812,0.8537,1.268006985722132
Topamax,Migraine Prevention,1,22,0.026,0.108,0.866,-0.8957,7.064415428840003
Transderm-Scop,Motion Sickness,8,24,0.069,0.024,0.907,0.7719,5.891311380892911
Oseltamivir,Influenza,10,2,0.266,0.099,0.635,0.6361,8.074493292790843
Medroxyprogesterone,Abnormal Uterine Bleeding,8,5,0.039,0.06,0.9,-0.1615,6.124057251494149
Moxifloxacin,Pneumonia,9,9,0.062,0.045,0.893,0.1999,8.753452412523746
Diclofenac,Back Pain,10,25,0.05,0.182,0.768,-0.9686,6.1234614690910565
Mesalamine,"Crohn's Disease, Maintenance",8,16,0.0,0.0,1.0,0.0,7.887237930752728
Clonazepam,Panic Disorde,10,57,0.135,0.085,0.78,0.6731,6.26853519358079
Guaifenesin,ibromyalgia,10,0,0.066,0.219,0.715,-0.9713,6.109306553878857
Ortho Tri-Cyclen,Birth Control,10,6,0.218,0.125,0.657,0.9593,6.1731344641759245
Ledipasvir / sofosbuvir,Hepatitis C,8,24,0.209,0.055,0.737,0.9109,5.891311380892911
Venlafaxine,Anxiety,6,23,0.108,0.313,0.579,-0.9621,5.6193424375139145
Nuvigil,Narcolepsy,9,13,0.239,0.0,0.761,0.5826,6.3732589822241685
Eflornithine,Hirsutism,10,69,0.129,0.143,0.728,-0.0806,6.119944671202277
Ethinyl estradiol / levonorgestrel,Birth Control,9,3,0.074,0.082,0.845,-0.1513,8.842186219376321
Oxycodone,Pain,10,83,0.0,0.0,1.0,0.0,7.217674206269202
Depakote ER,Migraine Prevention,4,2,0.253,0.177,0.57,0.296,7.884224520147357
Clonazepam,Anxiety,10,12,0.035,0.202,0.762,-0.9674,6.355865537958907
Allopurinol,Gout,10,58,0.088,0.041,0.87,0.5032,7.393285995684158
Lunesta,Insomnia,10,42,0.092,0.136,0.772,-0.661,8.05477107192397
Contrave,Obesity,9,18,0.0,0.17,0.83,-0.7351,6.746195481627737
Ciprofloxacin,Prostatitis,2,22,0.153,0.0,0.847,0.6808,8.323452146415569
Nitrofurantoin,Prevention of Bladder infection,10,33,0.083,0.14,0.778,-0.7719,7.567549647369478
Microgestin Fe 1 / 20,Endometriosis,10,21,0.09,0.021,0.889,0.7345,8.233307958262657
Magnesium citrate,Constipation,10,58,0.051,0.056,0.893,0.128,7.393285995684158
Citalopram,Anxiety and Stress,7,60,0.11,0.107,0.783,0.0498,6.635501593562058
Phentermine,Weight Loss,7,6,0.062,0.109,0.829,-0.2585,2.4064166153302886
Liraglutide,Obesity,9,22,0.079,0.106,0.815,-0.296,8.853339021798474
Janumet,"Diabetes, Type 2",6,42,0.093,0.072,0.836,0.3818,5.376834333065538
Olanzapine,Depression,10,47,0.15,0.115,0.735,0.3245,8.748627336347578
NuvaRing,Birth Control,4,5,0.033,0.155,0.811,-0.9541,6.930195283510674
Lyza,Birth Control,4,5,0.0,0.0,1.0,0.0,6.930195283510674
Sertraline,Social Anxiety Disorde,7,31,0.046,0.226,0.728,-0.9129,2.5882618947649494
Abilify,Bipolar Disorde,1,15,0.0,0.0,1.0,0.0,6.71052568386338
Hypercare,Hyperhidrosis,8,0,0.163,0.128,0.709,0.3634,4.821588697606812
Citalopram,Post Traumatic Stress Disorde,10,22,0.159,0.0,0.841,0.7964,8.757200984608478
Gianvi,Birth Control,9,7,0.117,0.152,0.731,-0.7169,6.607445106972985
Olanzapine,Depression,9,31,0.121,0.186,0.693,-0.6705,6.361917241451971
Thyroid desiccated,Underactive Thyroid,2,5,0.149,0.04,0.812,0.91,6.577285637571317
Promethazine,Opiate Adjunct,1,44,0.0,0.089,0.911,-0.6249,3.0549404643866653
Focalin,ADHD,10,107,0.141,0.034,0.825,0.9382,6.1369840793077
Nitrofurantoin,Urinary Tract Infection,10,52,0.064,0.112,0.825,-0.8479,7.759807184877063
Clonazepam,Panic Disorde,10,11,0.194,0.0,0.806,0.6249,7.544492890288928
Ethinyl estradiol / norethindrone,Birth Control,5,1,0.053,0.093,0.855,-0.6428,4.878171957939991
Synthroid,"Hypothyroidism, After Thyroid Removal",7,35,0.299,0.0,0.701,0.6893,6.561690902135986
Doxycycline,Acne,9,35,0.134,0.059,0.807,0.34,8.745036833474396
Citalopram,Anxiety and Stress,8,51,0.165,0.156,0.679,0.6652,5.327222011645147
Metformin,"Diabetes, Type 2",10,74,0.076,0.07,0.854,0.0516,7.323018196415763
Aviane,Birth Control,1,10,0.088,0.197,0.716,-0.9609,6.8294758571584
Levonorgestrel,Birth Control,10,6,0.216,0.092,0.692,0.9501,6.1731344641759245
Zyprexa,Bipolar Disorde,10,23,0.0,0.0,1.0,0.0,8.215482906027418
Amitriptyline,Irritable Bowel Syndrome,7,27,0.27,0.0,0.73,0.9042,5.5523649377922775
Metronidazole,Bacterial Infection,2,3,0.044,0.15,0.806,-0.8555,8.311305347103012
Prochlorperazine,Nausea/Vomiting,1,6,0.074,0.191,0.736,-0.5106,3.1839555369340493
Lamictal,Bipolar Disorde,9,43,0.07,0.055,0.875,0.1531,6.8988396488861214
Reclipsen,Birth Control,10,19,0.151,0.093,0.756,0.5126,6.127475169414972
Qsymia,Weight Loss,10,108,0.128,0.056,0.816,0.9227,7.0438186886205605
Lansoprazole,Gastritis/Duodenitis,10,0,0.804,0.0,0.196,0.6249,6.109306553878857
Escitalopram,Depression,10,89,0.191,0.115,0.694,0.7757,6.853082637924506
Ibrance,"Breast Cancer, Metastatic",9,45,0.0,0.31,0.69,-0.7959,6.941455322987079
Vicodin,Pain,10,20,0.0,0.0,1.0,0.0,6.998161370910088
Dulcolax,Constipation,1,2,0.0,0.239,0.761,-0.5267,6.1693738810759235
Gildess Fe 1 / 20,Birth Control,9,17,0.099,0.264,0.637,-0.97,8.001996457056773
Lisdexamfetamine,ADHD,5,15,0.047,0.114,0.84,-0.5267,7.069598344199332
LoSeasonique,3</span> users found this comment helpful.,10,3,0.051,0.07,0.879,-0.1175,8.745991303284766
Cyclobenzaprine,Muscle Spasm,8,91,0.126,0.092,0.782,0.7579,7.93341505194045
Januvia,"Diabetes, Type 2",8,13,0.092,0.074,0.834,0.1511,5.008960616814497
Tramadol,Pain,9,7,0.108,0.147,0.745,-0.2415,6.607445106972985
Tirosint,Hashimoto's disease,10,18,0.089,0.108,0.804,-0.4491,6.633970466631683
Sulfamethoxazole / trimethoprim,Urinary Tract Infection,9,32,0.142,0.172,0.687,0.0772,6.485994130094867
Nexplanon,Birth Control,9,1,0.032,0.154,0.814,-0.97,6.920059185010526
Ciprofloxacin,Urinary Tract Infection,7,8,0.0,0.085,0.915,-0.8437,5.281756228697488
Blisovi 24 Fe,Birth Control,7,10,0.048,0.028,0.924,0.304,6.462491820716791
Certolizumab,"Crohn's Disease, Maintenance",10,16,0.0,0.15,0.85,-0.6249,8.709532579215772
Imitrex,Migraine,9,3,0.068,0.083,0.849,0.1759,8.842186219376321
Dexlansoprazole,GERD,10,49,0.023,0.093,0.883,-0.7289,7.14772434856246
Doxycycline,Acne,9,17,0.147,0.076,0.777,0.9187,8.001996457056773
Ethinyl estradiol / levonorgestrel,Abnormal Uterine Bleeding,1,0,0.107,0.036,0.858,0.8515,3.054420106447377
Sulfamethoxazole / trimethoprim,Bacterial Skin Infection,5,7,0.0,0.088,0.912,-0.6352,4.4152596781425215
Metronidazole,Intraabdominal Infection,2,1,0.051,0.127,0.822,-0.8207,6.169162419744095
Phenytoin,Epilepsy,10,21,0.0,0.0,1.0,0.0,8.233307958262657
Contrave,Weight Loss,1,6,0.112,0.263,0.625,-0.5267,3.1839555369340493
Lysteda,Menorrhagia,10,65,0.057,0.135,0.807,-0.7935,8.25088976727308
Brexpiprazole,Major Depressive Disorde,8,77,0.188,0.05,0.763,0.9647,6.615580188588294
Bepreve,"Conjunctivitis, Allergic",10,3,0.213,0.104,0.683,0.743,8.745991303284766
Medroxyprogesterone,Birth Control,9,5,0.072,0.22,0.708,-0.8714,7.277927183306573
Moxifloxacin,Sinusitis,5,12,0.0,0.121,0.879,-0.7003,4.205095892187221
Ethinyl estradiol / norethindrone,Birth Control,8,10,0.023,0.16,0.817,-0.9254,7.736175873181428
Linzess,"Constipation, Chronic",9,64,0.135,0.05,0.815,0.9393,7.1292468112434815
Dexmethylphenidate,ADHD,8,45,0.095,0.024,0.88,0.8302,5.717921805828719
Skyla,Birth Control,6,4,0.217,0.056,0.727,0.9754,5.831127652885081
Captopril,High Blood Pressure,10,12,0.057,0.32,0.623,-0.9517,6.355865537958907
Trulicity,"Diabetes, Type 2",3,16,0.167,0.199,0.634,-0.6391,8.944722732824957
Skyla,Birth Control,5,4,0.067,0.094,0.839,-0.4347,6.916893730093862
Ortho Tri-Cyclen Lo,Birth Control,10,44,0.103,0.04,0.857,0.8181,6.109558961391044
Emtricitabine / rilpivirine / tenofovir,HIV Infection,1,5,0.17,0.086,0.744,0.888,4.884977122534999
Liletta,Birth Control,10,8,0.14,0.095,0.765,0.7868,7.737592628105482
Chlordiazepoxide / clidinium,Enterocolitis,9,0,0.231,0.0,0.769,0.6249,6.227844379644332
Desogestrel / ethinyl estradiol,Birth Control,4,2,0.156,0.021,0.823,0.926,7.884224520147357
Levonorgestrel,Abnormal Uterine Bleeding,4,19,0.073,0.055,0.871,0.2617,5.812789583305314
Quetiapine,Bipolar Disorde,1,46,0.0,0.429,0.571,-0.9887,6.195677804234394
Disulfiram,Alcohol Dependence,8,24,0.057,0.098,0.846,-0.7272,5.891311380892911
Lubiprostone,Irritable Bowel Syndrome,8,20,0.115,0.039,0.846,0.9194,5.918437868438534
Janumet,"Diabetes, Type 2",10,80,0.0,0.09,0.91,-0.7964,7.6928031082515345
Naproxen,Osteoarthritis,8,22,0.049,0.164,0.788,-0.8342,7.94042769749102
Uroxatral,Benign Prostatic Hyperplasia,4,53,0.13,0.079,0.791,0.0775,8.503068114879536
Xanax,Anxiety,10,59,0.128,0.0,0.872,0.8727,8.496089979958727
Simponi,Rheumatoid Arthritis,4,44,0.059,0.073,0.869,-0.1531,5.793407029148227
Nexplanon,Birth Control,1,0,0.138,0.096,0.767,0.7438,3.054420106447377
Botox,Overactive Bladde,10,34,0.199,0.06,0.741,0.9641,8.585381211066728
Strattera,ADHD,1,13,0.061,0.122,0.816,-0.8126,3.3477247532480425
Xulane,Birth Control,9,4,0.051,0.078,0.87,-0.296,8.457255146738312
Norethindrone,Birth Control,4,9,0.102,0.093,0.806,0.1307,8.494569707089273
Citalopram,Depression,8,15,0.025,0.242,0.733,-0.9877,7.633383658619352
Zaleplon,Insomnia,1,13,0.0,0.118,0.882,-0.4215,3.3477247532480425
Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,6,14,0.067,0.197,0.736,-0.8347,4.258717606691409
Viagra,Erectile Dysfunction,10,54,0.309,0.057,0.634,0.8382,8.563274491655593
Diclofenac,Osteoarthritis,10,2,0.096,0.125,0.779,-0.5189,8.074493292790843
Viagra,34</span> users found this comment helpful.,8,34,0.116,0.045,0.839,0.7062,7.748384256415353
Nystatin,Oral Thrush,7,0,0.055,0.206,0.739,-0.9217,2.2348399436105684
Topamax,Migraine Prevention,1,17,0.107,0.096,0.797,0.3887,5.933027117967472
Pristiq,Depression,9,41,0.117,0.109,0.774,0.0754,8.839215364127986
Fentanyl,Chronic Pain,8,8,0.234,0.024,0.742,0.9011,6.785657415594868
Ethinyl estradiol / norgestimate,Birth Control,9,10,0.136,0.0,0.864,0.8316,8.671579904027597
Adapalene / benzoyl peroxide,Acne,10,7,0.015,0.079,0.906,-0.8168,6.493653305451713
Adderall XR,ADHD,10,51,0.107,0.066,0.827,0.4572,6.5114336812428935
Plan B,Emergency Contraception,10,13,0.087,0.226,0.687,-0.9412,6.256623555456827
Dimenhydrinate,Motion Sickness,10,4,0.0,0.113,0.887,-0.8271,8.358950719271757
Uloric,Gout,1,3,0.054,0.193,0.753,-0.8951,7.0500866311617765
Testosterone,"Hypogonadism, Male",10,101,0.092,0.09,0.817,0.296,6.280866122628435
Aripiprazole,Schizoaffective Disorde,9,7,0.074,0.125,0.801,-0.1935,6.607445106972985
Dronedarone,Atrial Fibrillation,9,62,0.242,0.086,0.672,0.539,6.726812515027324
Chlorpheniramine / hydrocodone,Cough,8,20,0.044,0.121,0.835,-0.8774,5.918437868438534
Risperidone,Bipolar Disorde,7,5,0.159,0.049,0.793,0.6908,4.395058287782974
Beyaz,5</span> users found this comment helpful.,1,5,0.076,0.161,0.763,-0.7585,4.884977122534999
Stadol,Pain,8,38,0.047,0.194,0.759,-0.9011,4.91343358984285
Quetiapine,Insomnia,9,25,0.577,0.0,0.423,0.6249,6.241811744290402
Amphetamine / dextroamphetamine,ADHD,6,32,0.125,0.056,0.818,0.8847,2.033711838126182
Sudafed Congestion,Nasal Congestion,10,10,0.285,0.067,0.648,0.9832,8.574485878929147
Brexpiprazole,Major Depressive Disorde,9,62,0.056,0.155,0.789,-0.8748,6.726812515027324
Zoloft,Depression,7,39,0.105,0.092,0.803,0.2322,4.433600125384408
Venlafaxine,Anxiety and Stress,9,5,0.0,0.0,1.0,0.0,7.277927183306573
Ethinyl estradiol / norgestimate,Acne,6,4,0.083,0.092,0.825,-0.2762,5.831127652885081
Armodafinil,Narcolepsy,6,29,0.053,0.071,0.876,-0.1373,5.9914294788278335
Etonogestrel,Birth Control,9,8,0.106,0.078,0.817,0.5785,7.839952234736723
Implanon,Birth Control,10,2,0.372,0.151,0.477,0.8523,8.074493292790843
Miconazole,Vaginal Yeast Infection,1,1,0.125,0.014,0.861,0.8696,4.319273404069607
Ritalin,ADHD,6,55,0.061,0.122,0.817,-0.4793,4.5207587946537995
Evolocumab,High Cholesterol,2,49,0.075,0.167,0.758,-0.8868,6.551145416668673
TriNessa,Acne,5,1,0.155,0.07,0.774,0.806,4.878171957939991
Ethinyl estradiol / norgestimate,Birth Control,3,0,0.067,0.055,0.878,0.1779,6.35504055965443
Falmina,Birth Control,2,1,0.034,0.104,0.862,-0.7641,6.169162419744095
Edex,Erectile Dysfunction,10,6,0.328,0.0,0.672,0.8294,6.1731344641759245
Omeprazole,GERD,7,63,0.04,0.294,0.667,-0.8723,2.297060044039584
Epiduo,Acne,10,22,0.306,0.05,0.643,0.9541,8.757200984608478
Orap,Tourette's Syndrome,10,10,0.103,0.0,0.897,0.3182,8.574485878929147
Fexofenadine / pseudoephedrine,Allergic Rhinitis,7,4,0.054,0.0,0.946,0.4767,6.168992330132397
Morphine,Chronic Pain,10,44,0.122,0.287,0.591,-0.6003,6.109558961391044
Tioconazole,Vaginal Yeast Infection,1,1,0.079,0.052,0.869,0.7201,4.319273404069607
Namenda,Alzheimer's Disease,1,47,0.054,0.151,0.795,-0.8166,7.053457112018454
Lamotrigine,Bipolar Disorde,10,37,0.085,0.067,0.848,0.1531,6.476183149656864
Kadian,Pain,10,32,0.165,0.114,0.721,0.6783,6.370760113378997
Vyvanse,ADHD,10,10,0.668,0.0,0.332,0.8425,8.574485878929147
Monistat 3-Day Combination Pack,Vaginal Yeast Infection,1,13,0.195,0.113,0.692,0.4767,3.3477247532480425
Phentermine,Weight Loss,9,30,0.093,0.089,0.818,0.1265,7.4518668764055755
Linaclotide,"Constipation, Chronic",8,22,0.126,0.066,0.808,0.8519,7.94042769749102
Levonorgestrel,Birth Control,6,4,0.122,0.179,0.699,-0.8898,5.831127652885081
Cyproheptadine,Anorexia,10,52,0.134,0.087,0.779,0.852,7.759807184877063
Methylphenidate,ADHD,6,33,0.11,0.046,0.843,0.6695,4.5986864720965
Wellbutrin XL,Depression,8,88,0.14,0.094,0.766,0.5859,4.822881950215925
Sertraline,Panic Disorde,1,2,0.0,0.163,0.837,-0.6837,6.1693738810759235
Sprintec,Birth Control,2,10,0.11,0.184,0.706,-0.4915,8.125183885882972
Medroxyprogesterone,Abnormal Uterine Bleeding,2,7,0.096,0.06,0.843,0.5998,5.8076563462187885
Makena,Premature Lab,10,13,0.159,0.085,0.756,0.4118,6.256623555456827
Loestrin 24 Fe,Birth Control,4,9,0.128,0.121,0.751,0.1113,8.494569707089273
